,id,gender,own_car,own_house,income,income_type,education,family_status,housing_type,occupation_type,count_fam_mem,years_employed,age,total_due_months,status
0,5008804,M,Y,Y,276750.0,Working,Higher education,Civil marriage,Rented apartment,Others,2,12.35,32.9,16,1
1,5008805,M,Y,Y,276750.0,Working,Higher education,Civil marriage,Rented apartment,Others,2,12.35,32.9,5,1
2,5008806,M,Y,Y,112500.0,Working,Secondary education,Married,Own House,Low-skill Laborers,2,3.1,58.8,30,1
3,5008808,F,N,Y,270000.0,Commercial associate,Secondary education,Single / not married,Own House,Sales staff,1,8.4,52.4,5,1
4,5008809,F,N,Y,270000.0,Commercial associate,Secondary education,Single / not married,Own House,Sales staff,1,8.4,52.4,5,1
5,5008810,F,N,Y,270000.0,Commercial associate,Secondary education,Single / not married,Own House,Sales staff,1,8.4,52.4,27,1
6,5008811,F,N,Y,270000.0,Commercial associate,Secondary education,Single / not married,Own House,Sales staff,1,8.4,52.4,39,1
7,5008812,F,N,Y,276750.0,Pensioner,Higher education,Separated,Own House,Unemployed,1,0.0,61.5,17,0
8,5008813,F,N,Y,276750.0,Pensioner,Higher education,Separated,Own House,Unemployed,1,0.0,61.5,17,0
9,5008814,F,N,Y,276750.0,Pensioner,Higher education,Separated,Own House,Unemployed,1,0.0,61.5,17,0
10,5008815,M,Y,Y,270000.0,Working,Higher education,Married,Own House,Accountants,2,2.1,46.2,5,0
11,5112956,M,Y,Y,270000.0,Working,Higher education,Married,Own House,Accountants,2,2.1,46.2,43,0
13,5008819,M,Y,Y,135000.0,Commercial associate,Secondary education,Married,Own House,Laborers,2,3.3,48.7,8,1
14,5008820,M,Y,Y,135000.0,Commercial associate,Secondary education,Married,Own House,Laborers,2,3.3,48.7,5,1
15,5008821,M,Y,Y,135000.0,Commercial associate,Secondary education,Married,Own House,Laborers,2,3.3,48.7,5,0
16,5008822,M,Y,Y,135000.0,Commercial associate,Secondary education,Married,Own House,Laborers,2,3.3,48.7,5,1
17,5008823,M,Y,Y,135000.0,Commercial associate,Secondary education,Married,Own House,Laborers,2,3.3,48.7,5,0
18,5008824,M,Y,Y,135000.0,Commercial associate,Secondary education,Married,Own House,Laborers,2,3.3,48.7,4,0
19,5008825,F,Y,N,130500.0,Working,Higher education,Married,Own House,Accountants,2,3.0,29.2,26,0
20,5008826,F,Y,N,130500.0,Working,Higher education,Married,Own House,Accountants,2,3.0,29.2,30,1
21,5008830,F,N,Y,157500.0,Working,Secondary education,Married,Own House,Laborers,2,4.0,27.5,32,1
22,5008831,F,N,Y,157500.0,Working,Secondary education,Married,Own House,Laborers,2,4.0,27.5,5,0
23,5008832,F,N,Y,157500.0,Working,Secondary education,Married,Own House,Laborers,2,4.0,27.5,35,1
24,5008834,F,N,Y,112500.0,Working,Secondary education,Single / not married,Own House,Others,2,4.4,30.0,45,1
25,5008835,F,N,Y,112500.0,Working,Secondary education,Single / not married,Own House,Others,2,4.4,30.0,17,1
27,5008836,M,Y,Y,270000.0,Working,Secondary education,Married,Own House,Laborers,5,3.2,34.8,17,1
28,5008837,M,Y,Y,270000.0,Working,Secondary education,Married,Own House,Laborers,5,3.2,34.8,17,1
29,5008838,M,N,Y,276750.0,Commercial associate,Higher education,Married,Own House,Managers,3,5.5,32.4,31,0
30,5008839,M,N,Y,276750.0,Commercial associate,Higher education,Married,Own House,Managers,3,5.5,32.4,14,0
31,5008840,M,N,Y,276750.0,Commercial associate,Higher education,Married,Own House,Managers,3,5.5,32.4,56,1
32,5008841,M,N,Y,276750.0,Commercial associate,Higher education,Married,Own House,Managers,3,5.5,32.4,5,0
33,5008842,M,N,Y,276750.0,Commercial associate,Higher education,Married,Own House,Managers,3,5.5,32.4,5,0
34,5008843,M,N,Y,276750.0,Commercial associate,Higher education,Married,Own House,Managers,3,5.5,32.4,30,1
35,5008844,M,Y,Y,112500.0,Commercial associate,Secondary education,Married,Own House,Drivers,2,12.2,56.2,33,0
36,5008846,M,Y,Y,112500.0,Commercial associate,Secondary education,Married,Own House,Drivers,2,12.2,56.2,12,0
37,5008847,M,Y,Y,112500.0,Commercial associate,Secondary education,Married,Own House,Drivers,2,12.2,56.2,33,0
38,5008849,M,Y,Y,112500.0,Commercial associate,Secondary education,Married,Own House,Drivers,2,12.2,56.2,12,1
39,5008850,M,Y,Y,112500.0,Commercial associate,Secondary education,Married,Own House,Drivers,2,12.2,56.2,26,0
40,5008851,M,Y,Y,112500.0,Commercial associate,Secondary education,Married,Own House,Drivers,2,12.2,56.2,12,0
